学名,x,y,日期,地址,数量,目,科,种,保护级别
Anas platyrhynchos,112.845211,34.8101389,2025/11/13,巩义,500,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,112.845211,34.8101389,2025/11/18,巩义,500,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,112.845211,34.8101389,2025/11/28,巩义,500,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,112.845211,34.8101389,2025/12/5,巩义,800,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,112.845211,34.8101389,2025/12/10,巩义,800,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,112.845211,34.8101389,2025/12/17,巩义,800,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,112.845211,34.8101389,2025/12/22,巩义,800,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,112.845211,34.8101389,2025/12/29,巩义,800,雁形目,鸭科,绿头鸭,
Anas poecilorhyncha ,112.845211,34.8101389,2025/10/17,巩义,300,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,112.845211,34.8101389,2025/11/13,巩义,300,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,112.845211,34.8101389,2025/11/18,巩义,400,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,112.845211,34.8101389,2025/11/28,巩义,800,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,112.845211,34.8101389,2025/12/5,巩义,800,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,112.845211,34.8101389,2025/12/10,巩义,800,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,112.845211,34.8101389,2025/12/17,巩义,1000,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,112.845211,34.8101389,2025/12/22,巩义,1000,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,112.845211,34.8101389,2025/12/29,巩义,800,雁形目,鸭科,斑嘴鸭,
Anser fabalis,112.845211,34.8101389,2025/11/13,巩义,500,雁形目,鸭科,豆雁,
Anser fabalis,112.845211,34.8101389,2025/11/18,巩义,1200,雁形目,鸭科,豆雁,
Anser fabalis,112.845211,34.8101389,2025/11/28,巩义,2000,雁形目,鸭科,豆雁,
Anser fabalis,112.845211,34.8101389,2025/12/5,巩义,3000,雁形目,鸭科,豆雁,
Anser fabalis,112.845211,34.8101389,2025/12/10,巩义,4000,雁形目,鸭科,豆雁,
Anser fabalis,112.845211,34.8101389,2025/12/17,巩义,3000,雁形目,鸭科,豆雁,
Anser fabalis,112.845211,34.8101389,2025/12/22,巩义,4000,雁形目,鸭科,豆雁,
Anser fabalis,112.845211,34.8101389,2025/12/29,巩义,3500,雁形目,鸭科,豆雁,
Ardea alba ,112.845211,34.8101389,2025/10/17,巩义,2,鹈形目,鹭科,大白鹭,
Ardea alba ,112.845211,34.8101389,2025/12/29,巩义,3,鹈形目,鹭科,大白鹭,
Ardea cinerea ,112.845211,34.8101389,2025/10/17,巩义,7,鹈形目,鹭科,苍鹭,
Ardea cinerea ,112.845211,34.8101389,2025/11/13,巩义,7,鹈形目,鹭科,苍鹭,
Ardea cinerea ,112.845211,34.8101389,2025/11/28,巩义,7,鹈形目,鹭科,苍鹭,
Ardea cinerea ,112.845211,34.8101389,2025/12/29,巩义,2,鹈形目,鹭科,苍鹭,
Columba rupestris,112.845211,34.8101389,2025/12/10,巩义,80,鸽形目,鸠鸽科,岩鸽,
Cygnus columbianus,112.845211,34.8101389,2025/11/18,巩义,586,雁形目,鸭科,小天鹅,Ⅱ
Larus vegae,112.845211,34.8101389,2025/11/18,巩义,100,鸻形目,  鸥科,西伯利亚银鸥,
Larus vegae,112.845211,34.8101389,2025/11/28,巩义,14,鸻形目,  鸥科,西伯利亚银鸥,
Larus vegae,112.845211,34.8101389,2025/12/10,巩义,52,鸻形目,  鸥科,西伯利亚银鸥,
