学名,x,y,日期,地址,数量,目,科,种,保护级别
Accipiter soloensis,,,2025/5/13,,1,鹰形目,鹰科,赤腹鹰,Ⅱ
Acridotheres cristatellus ,,,2025/5/13,,6,雀形目,椋鸟科,八哥,
Actitis hypoleucos,,,2025/5/13,,4,鸻形目,鹬科,矶鹬,
Aegithalos caudatus ,,,2025/5/13,,1,雀形目,长尾山雀科,银喉长尾山雀,
Alcedo atthis ,,,2025/5/13,,1,佛法僧目,翠鸟科,普通翠鸟,
Anas platyrhynchos,,,2025/11/1,,5,雁形目,鸭科,绿头鸭,
Anas platyrhynchos,,,2025/11/7,,300,雁形目,鸭科,绿头鸭,
Anas poecilorhyncha ,,,2025/5/13,,20,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,,,2025/10/28,,400,雁形目,鸭科,斑嘴鸭,
Anas poecilorhyncha ,,,2025/11/7,,600,雁形目,鸭科,斑嘴鸭,
Anser fabalis,,,2025/11/7,,600,雁形目,鸭科,豆雁,
Anthus hodgsoni ,,,2025/5/13,,1,雀形目,鹡鸰科,树鹨,
Ardea alba ,,,2025/11/1,,1,鹈形目,鹭科,大白鹭,
Ardea alba ,,,2025/11/7,,1,鹈形目,鹭科,大白鹭,
Ardea cinerea ,,,2025/5/13,,12,鹈形目,鹭科,苍鹭,
Ardea cinerea ,,,2025/10/28,,7,鹈形目,鹭科,苍鹭,
Ardea cinerea ,,,2025/11/7,,6,鹈形目,鹭科,苍鹭,
Ardeola bacchus ,,,2025/5/13,,5,鹈形目,鹭科,池鹭,
Carduelis sinica ,,,2025/5/13,,1,雀形目,燕雀科,金翅雀,
Cecropis daurica ,,,2025/5/13,,10,雀形目, 燕科,金腰燕,
Ceryle rudis ,,,2025/5/13,,2,佛法僧目,翠鸟科,斑鱼狗,
Columba rupestris,,,2025/10/28,,60,鸽形目,鸠鸽科,岩鸽,
Corvus corone ,,,2025/11/1,,1,雀形目,鸦科,小嘴乌鸦,
Corvus dauuricus,,,2025/11/1,,30,雀形目,鸦科,达乌里寒鸦,
Corvus frugilegus ,,,2025/11/1,,70,雀形目,鸦科,秃鼻乌鸦,
Cuculus  canorus ,,,2025/5/13,,1,鹃形目  ,杜鹃科,大杜鹃,
Cuculus micropterus ,,,2025/5/13,,2,鹃形目  ,杜鹃科,四声杜鹃,
Cyanopica cyanus ,,,2025/5/13,,21,雀形目,鸦科,灰喜鹊,
Cyanopica cyanus ,,,2025/5/17,,7,雀形目,鸦科,灰喜鹊,
Cyanopica cyanus ,,,2025/11/1,,1,雀形目,鸦科,灰喜鹊,
Dendrocopos canicapillus ,,,2025/5/13,,1,啄木鸟目,啄木鸟科,星头啄木鸟,
Dendrocopos canicapillus ,,,2025/5/17,,1,啄木鸟目,啄木鸟科,星头啄木鸟,
Dendrocopos major ,,,2025/5/13,,1,啄木鸟目,啄木鸟科,大斑啄木鸟,
Dicrurus macrocercus ,,,2025/5/13,,4,雀形目,卷尾科,黑卷尾,
Egretta garzetta ,,,2025/5/13,,3,鹈形目,鹭科,白鹭,
Egretta garzetta ,,,2025/11/1,,2,鹈形目,鹭科,白鹭,
Eudynamys scolopacea ,,,2025/5/13,,8,鹃形目  ,杜鹃科,噪鹃,
Falco amurensis,,,2025/5/13,,1,隼形目,  隼科,红脚隼,Ⅱ
Falco subbuteo,,,2025/5/13,,1,隼形目,  隼科,燕隼,Ⅱ
Falco tinnunculus ,,,2025/5/13,,1,隼形目,  隼科,红隼,Ⅱ
Ficedula albicilla,,,2025/5/13,,1,雀形目,鹟科,红喉姬鹟,
Ficedula zanthopygia,,,2025/5/13,,1,雀形目,鹟科,白眉姬鹟,
Garrulax perspicillatus,,,2025/5/13,,10,雀形目,噪鹛科,黑脸噪鹛,
Glareola maldivarum,,,2025/5/13,,10,鸻形目,燕鸻科,普通燕鸻,
Hirundo rustica ,,,2025/5/13,,30,雀形目, 燕科,家燕,
Hirundo rustica ,,,2025/5/17,,4,雀形目, 燕科,家燕,
Lanius cristatus ,,,2025/5/13,,1,雀形目,伯劳科,红尾伯劳,
Lanius schach ,,,2025/5/13,,1,雀形目,伯劳科,棕背伯劳,
Lanius schach ,,,2025/5/17,,1,雀形目,伯劳科,棕背伯劳,
Motacilla alba ,,,2025/5/13,,3,雀形目,鹡鸰科,白鹡鸰,
Muscicapa dauurica,,,2025/5/13,,1,雀形目,鹟科,北灰鹟,
Muscicapa sibirica,,,2025/5/13,,1,雀形目,鹟科,乌鹟,
Nycticorax  nycticorax  ,,,2025/5/13,,3,鹈形目,鹭科,夜鹭,
Paradoxornis webbianus ,,,2025/5/13,,1,雀形目,莺鹛科,棕头鸦雀,
Paradoxornis webbianus ,,,2025/11/1,,100,雀形目,莺鹛科,棕头鸦雀,
Parus major ,,,2025/5/13,,10,雀形目,山雀科,大山雀（远东山雀）,
Passer montanus ,,,2025/5/13,,10,雀形目,雀科,麻雀,
Passer montanus ,,,2025/5/17,,10,雀形目,雀科,麻雀,
"Phalacrocorax carbo 
",,,2025/10/28,,25,鲣鸟目,鸬鹚科,普通鸬鹚,
Phasianus colchicus ,,,2025/5/13,,5,鸡形目,雉科,环颈雉,
Phylloscopus fuscatus,,,2025/5/13,,1,雀形目,柳莺科,褐柳莺,
Phylloscopus inornatus,,,2025/5/13,,1,雀形目,柳莺科,黄眉柳莺,
Phylloscopus proregulus,,,2025/11/1,,1,雀形目,柳莺科,黄腰柳莺,
Pica pica ,,,2025/5/13,,17,雀形目,鸦科,喜鹊,
Pica pica ,,,2025/5/17,,4,雀形目,鸦科,喜鹊,
Pica pica ,,,2025/10/28,,100,雀形目,鸦科,喜鹊,
Pica pica ,,,2025/11/1,,1,雀形目,鸦科,喜鹊,
Picus canus ,,,2025/5/13,,2,啄木鸟目,啄木鸟科,灰头绿啄木鸟,
Platalea leucorodia,,,2025/11/7,,12,鹈形目,鹮科,白琵鹭,Ⅱ
Podiceps cristatus ,,,2025/11/1,,1,䴙䴘目,䴙䴘科,凤头,
Podiceps ruficollis,,,2025/11/1,,1,䴙䴘目,䴙䴘科,小,
Podiceps ruficollis,,,2025/11/7,,2,䴙䴘目,䴙䴘科,小,
Pycnonotus sinensis ,,,2025/5/13,,7,雀形目,鹎科,白头鹎,
Pycnonotus sinensis ,,,2025/5/17,,5,雀形目,鹎科,白头鹎,
Riparia riparia ,,,2025/5/13,,100,雀形目, 燕科,崖沙燕,
Streptopelia chinensis,,,2025/5/13,,12,鸽形目,鸠鸽科,珠颈斑鸠,
Streptopelia orientalis ,,,2025/5/13,,10,鸽形目,鸠鸽科,山斑鸠,
Streptopelia orientalis ,,,2025/5/17,,10,鸽形目,鸠鸽科,山斑鸠,
Sturnus sericeus,,,2025/5/17,,1,雀形目,椋鸟科,丝光椋鸟,
Tadorna ferruginea,,,2025/10/28,,100,雁形目,鸭科,赤麻鸭,
Turdus merula ,,,2025/5/17,,3,雀形目,鸫科,乌鸫,
Turdus mupinensis,,,2025/5/13,,1,雀形目,鸫科,宝兴歌鸫,
Upupa epops ,,,2025/5/13,,1,犀鸟目,戴胜科,戴胜,
Upupa epops ,,,2025/5/17,,1,犀鸟目,戴胜科,戴胜,
Urocissa erythrorhyncha ,,,2025/5/13,,2,雀形目,鸦科,红嘴蓝鹊,
Vanellus cinereus,,,2025/5/13,,8,鸻形目,鸻科,灰头麦鸡,
Zosterops japonicus,,,2025/5/13,,1,雀形目,绣眼鸟科,暗绿绣眼鸟,
,,,2025/10/28,,2,鹈形目,鹭科,中白鹭,
